SognName,SognDigDagID,AmtName,AmtDigDagID,StartDate,EndDate
Voerladegård Sogn,115123,Skanderborg Amt,118847,1824-07-01,1867-08-01
Voerladegård Sogn,115123,Århus Amt,118846,1867-08-01,1950-01-01
Kærby Sogn,114134,Randers Amt,118842,1750-01-01,1950-01-01
Voel Sogn,115120,Århus Amt,118846,1750-01-01,1950-01-01
Voldum Sogn,115128,Randers Amt,118842,1750-01-01,1950-01-01
Vor Frue Sogn,115140,Kalundborg Amt,118772,1750-01-01,1801-08-27
Vor Frue Sogn,115140,Holbæk Amt,118779,1801-08-27,1950-01-01
Værum Sogn,115168,Randers Amt,118842,1750-01-01,1950-01-01
Vorde Sogn,115148,Viborg Amt,118830,1750-01-01,1950-01-01
Vorup Sogn,115152,Randers Amt,118842,1750-01-01,1950-01-01
Sjørring Sogn,114590,Thisted Amt,118826,1750-01-01,1950-01-01
Ølsted Sogn,115186,Vejle Amt,118849,1750-01-01,1950-01-01
Vrejlev Sogn,115156,Hjørring Amt,118820,1750-01-01,1950-01-01
Ydby Sogn,115171,Thisted Amt,118826,1750-01-01,1950-01-01
Vrensted Sogn,115157,Hjørring Amt,118820,1750-01-01,1950-01-01
Ørsted Sogn,115202,Assens Amt,118806,1750-01-01,1809-05-01
Ørsted Sogn,115202,Odense Amt,118809,1809-05-01,1950-01-01
Vridsted Sogn,115158,Viborg Amt,118830,1750-01-01,1950-01-01
Vålse Sogn,115170,Nykøbing Amt,118793,1750-01-01,1803-05-25
Vålse Sogn,115170,Maribo Amt,118799,1803-05-25,1950-01-01
Yding Sogn,115172,Århus Amt,118846,1750-01-01,1824-07-01
Yding Sogn,115172,Skanderborg Amt,118847,1824-07-01,1867-08-01
Yding Sogn,115172,Århus Amt,118846,1867-08-01,1950-01-01
Nautrup Sogn,114292,Viborg Amt,118830,1750-01-01,1950-01-01
Mønsted Sogn,114280,Viborg Amt,118830,1750-01-01,1950-01-01
Ølgod Sogn,115180,Ribe Amt,118855,1750-01-01,1950-01-01
Mårum Sogn,114288,Kronborg Amt,118765,1750-01-01,1805-03-20
Mårum Sogn,114288,Frederiksborg Amt,118771,1805-03-20,1950-01-01
Ørum Sogn,115208,Viborg Amt,118830,1750-01-01,1950-01-01
Øster Assels Sogn,115216,Thisted Amt,118826,1750-01-01,1950-01-01
Ølsemagle Sogn,115182,Roskilde Amt,118763,1750-01-01,1808-09-02
Ølsemagle Sogn,115182,Københavns Amt,118762,1808-09-02,1950-01-01
Ørslev Sogn,115197,Sorø Amt,118785,1750-01-01,1950-01-01
Øster Starup Sogn,115228,Vejle Amt,118849,1750-01-01,1950-01-01
Ørslev Sogn,115199,Hindsgavl Amt,118807,1750-01-01,1809-05-01
Ørslev Sogn,115199,Odense Amt,118809,1809-05-01,1950-01-01
Øster Tørslev Sogn,115230,Randers Amt,118842,1750-01-01,1950-01-01
Øster Egesborg Sogn,115220,Vordingborg Amt,118787,1750-01-01,1803-05-25
Øster Egesborg Sogn,115220,Præstø Amt,118791,1803-05-25,1950-01-01
Sjørslev Sogn,114591,Viborg Amt,118830,1750-01-01,1950-01-01
Øster Nykirke Sogn,115225,Vejle Amt,118849,1750-01-01,1950-01-01
Øster Skerninge Sogn,115226,Svendborg Amt,118813,1750-01-01,1950-01-01
Øster Snede Sogn,115227,Vejle Amt,118849,1750-01-01,1950-01-01
Øster Velling Sogn,115233,Viborg Amt,118830,1750-01-01,1950-01-01
Østerbølle Sogn,115234,Viborg Amt,118830,1750-01-01,1950-01-01
Østerild Sogn,115235,Thisted Amt,118826,1750-01-01,1950-01-01
Nørre Tranders Sogn,114361,Ålborg Amt,118819,1750-01-01,1950-01-01
Mårup Sogn,114289,Hjørring Amt,118820,1750-01-01,1950-01-01
Nysogn,114320,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Skelby Sogn,114611,Vordingborg Amt,118787,1750-01-01,1803-05-25
Skelby Sogn,114611,Præstø Amt,118791,1803-05-25,1950-01-01
Oddum Sogn,115243,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Åstrup Sogn,115264,Svendborg Amt,118813,1750-01-01,1950-01-01
Årslev Sogn,115259,Svendborg Amt,118813,1750-01-01,1950-01-01
Nibe Sogn,114299,Ålborg Amt,118819,1750-01-01,1950-01-01
Nørre Galten Sogn,114346,Randers Amt,118842,1750-01-01,1950-01-01
